Time : 0.0 , Height : 0.0765625 , Range : 0.08700000000000001
Time : 0.01 , Height : 0.150093125 , Range : 0.17400000000000002
Time : 0.02 , Height : 0.220653125 , Range : 0.261
Time : 0.03 , Height : 0.28830375 , Range : 0.34800000000000003
Time : 0.04 , Height : 0.35310625000000007 , Range : 0.43500000000000005
Time : 0.05 , Height : 0.4151218750000001 , Range : 0.522
Time : 0.06 , Height : 0.4744118750000001 , Range : 0.609
Time : 0.07 , Height : 0.5310375 , Range : 0.696
Time : 0.08 , Height : 0.58506 , Range : 0.7829999999999999
Time : 0.09 , Height : 0.6365406250000001 , Range : 0.8699999999999999
Time : 0.1 , Height : 0.6855406250000001 , Range : 0.9569999999999999
Time : 0.11 , Height : 0.7321212500000002 , Range : 1.0439999999999998
Time : 0.12 , Height : 0.7763437500000002 , Range : 1.1309999999999998
Time : 0.13 , Height : 0.8182693750000002 , Range : 1.2179999999999997
Time : 0.14 , Height : 0.8579593750000002 , Range : 1.3049999999999997
Time : 0.15 , Height : 0.8954750000000002 , Range : 1.3919999999999997
Time : 0.16 , Height : 0.9308775000000002 , Range : 1.4789999999999996
Time : 0.17 , Height : 0.9642281250000002 , Range : 1.5659999999999996
Time : 0.18 , Height : 0.9955881250000003 , Range : 1.6529999999999996
Time : 0.19 , Height : 1.0250187500000003 , Range : 1.7399999999999995
Time : 0.2 , Height : 1.0525812500000002 , Range : 1.8269999999999995
Time : 0.21 , Height : 1.0783368750000002 , Range : 1.9139999999999995
Time : 0.22 , Height : 1.1023468750000003 , Range : 2.0009999999999994
Time : 0.23 , Height : 1.1246725000000002 , Range : 2.0879999999999996
Time : 0.24 , Height : 1.1453750000000003 , Range : 2.175
Time : 0.25 , Height : 1.1645156250000002 , Range : 2.262
Time : 0.26 , Height : 1.1821556250000003 , Range : 2.349
Time : 0.27 , Height : 1.1983562500000002 , Range : 2.4360000000000004
Time : 0.28 , Height : 1.2131787500000002 , Range : 2.5230000000000006
Time : 0.29 , Height : 1.2266843750000003 , Range : 2.6100000000000008
Time : 0.3 , Height : 1.2389343750000004 , Range : 2.697000000000001
Time : 0.31 , Height : 1.2499900000000004 , Range : 2.784000000000001
Time : 0.32 , Height : 1.2599125000000004 , Range : 2.8710000000000013
Time : 0.33 , Height : 1.2687631250000004 , Range : 2.9580000000000015
Time : 0.34 , Height : 1.2766031250000005 , Range : 3.0450000000000017
Time : 0.35000000000000003 , Height : 1.2834937500000005 , Range : 3.132000000000002
Time : 0.36 , Height : 1.2894962500000005 , Range : 3.219000000000002
Time : 0.37 , Height : 1.2946718750000004 , Range : 3.3060000000000023
Time : 0.38 , Height : 1.2990818750000004 , Range : 3.3930000000000025
Time : 0.39 , Height : 1.3027875000000004 , Range : 3.4800000000000026
Time : 0.4 , Height : 1.3058500000000004 , Range : 3.567000000000003
Time : 0.41000000000000003 , Height : 1.3083306250000004 , Range : 3.654000000000003
Time : 0.42 , Height : 1.3102906250000004 , Range : 3.741000000000003
Time : 0.43 , Height : 1.3117912500000004 , Range : 3.8280000000000034
Time : 0.44 , Height : 1.3128937500000004 , Range : 3.9150000000000036
Time : 0.45 , Height : 1.3136593750000005 , Range : 4.002000000000003
Time : 0.46 , Height : 1.3141493750000006 , Range : 4.089000000000003
Time : 0.47000000000000003 , Height : 1.3144250000000006 , Range : 4.176000000000003
Time : 0.48 , Height : 1.3145475000000006 , Range : 4.263000000000003
Time : 0.49 , Height : 1.3145781250000006 , Range : 4.350000000000002
Time : 0.5 , Height : 1.3145475000000006 , Range : 4.437000000000002
Time : 0.51 , Height : 1.3144250000000006 , Range : 4.524000000000002
Time : 0.52 , Height : 1.3141493750000006 , Range : 4.6110000000000015
Time : 0.53 , Height : 1.3136593750000005 , Range : 4.698000000000001
Time : 0.54 , Height : 1.3128937500000004 , Range : 4.785000000000001
Time : 0.55 , Height : 1.3117912500000004 , Range : 4.872000000000001
Time : 0.56 , Height : 1.3102906250000004 , Range : 4.9590000000000005
Time : 0.5700000000000001 , Height : 1.3083306250000004 , Range : 5.046
Time : 0.58 , Height : 1.3058500000000004 , Range : 5.133
Time : 0.59 , Height : 1.3027875000000004 , Range : 5.22
Time : 0.6 , Height : 1.2990818750000004 , Range : 5.3069999999999995
Time : 0.61 , Height : 1.2946718750000004 , Range : 5.393999999999999
Time : 0.62 , Height : 1.2894962500000005 , Range : 5.480999999999999
Time : 0.63 , Height : 1.2834937500000005 , Range : 5.567999999999999
Time : 0.64 , Height : 1.2766031250000005 , Range : 5.6549999999999985
Time : 0.65 , Height : 1.2687631250000004 , Range : 5.741999999999998
Time : 0.66 , Height : 1.2599125000000004 , Range : 5.828999999999998
Time : 0.67 , Height : 1.2499900000000004 , Range : 5.915999999999998
Time : 0.68 , Height : 1.2389343750000004 , Range : 6.0029999999999974
Time : 0.6900000000000001 , Height : 1.2266843750000003 , Range : 6.089999999999997
Time : 0.7000000000000001 , Height : 1.2131787500000002 , Range : 6.176999999999997
Time : 0.71 , Height : 1.1983562500000002 , Range : 6.263999999999997
Time : 0.72 , Height : 1.1821556250000003 , Range : 6.350999999999996
Time : 0.73 , Height : 1.1645156250000002 , Range : 6.437999999999996
Time : 0.74 , Height : 1.1453750000000003 , Range : 6.524999999999996
Time : 0.75 , Height : 1.1246725000000002 , Range : 6.611999999999996
Time : 0.76 , Height : 1.1023468750000003 , Range : 6.698999999999995
Time : 0.77 , Height : 1.0783368750000002 , Range : 6.785999999999995
Time : 0.78 , Height : 1.0525812500000002 , Range : 6.872999999999995
Time : 0.79 , Height : 1.0250187500000003 , Range : 6.959999999999995
Time : 0.8 , Height : 0.9955881250000003 , Range : 7.046999999999994
Time : 0.81 , Height : 0.9642281250000002 , Range : 7.133999999999994
Time : 0.8200000000000001 , Height : 0.9308775000000002 , Range : 7.220999999999994
Time : 0.8300000000000001 , Height : 0.8954750000000002 , Range : 7.307999999999994
Time : 0.84 , Height : 0.8579593750000002 , Range : 7.394999999999993
Time : 0.85 , Height : 0.8182693750000002 , Range : 7.481999999999993
Time : 0.86 , Height : 0.7763437500000002 , Range : 7.568999999999993
Time : 0.87 , Height : 0.7321212500000002 , Range : 7.655999999999993
Time : 0.88 , Height : 0.6855406250000001 , Range : 7.742999999999992
Time : 0.89 , Height : 0.6365406250000001 , Range : 7.829999999999992
Time : 0.9 , Height : 0.58506 , Range : 7.916999999999992
Time : 0.91 , Height : 0.5310375 , Range : 8.003999999999992
Time : 0.92 , Height : 0.47441187500000004 , Range : 8.090999999999992
Time : 0.93 , Height : 0.41512187500000003 , Range : 8.177999999999992
Time : 0.9400000000000001 , Height : 0.35310625 , Range : 8.264999999999992
Time : 0.9500000000000001 , Height : 0.28830374999999997 , Range : 8.351999999999991
Time : 0.96 , Height : 0.22065312499999995 , Range : 8.438999999999991
Time : 0.97 , Height : 0.15009312499999994 , Range : 8.525999999999991
Time : 0.98 , Height : 0.07656249999999994 , Range : 8.61299999999999
Time : 0.99 , Height : -6.938893903907228e-17 , Range : 8.69999999999999
